,bot_out
106,"I don't know if this is what you're looking for, but there are a number of examples of people making fun of the Latin language. One of the most famous examples of this is Cicero, who was a satirist and satirist of the time. Cicero wrote a book called *De Re Militari* in which he satirized the language of the Romans. In the book, Cicero ridicules the use of Latin as a language for medicine and science, and uses it as a way to mock the Romans for their lack of education and lack of scientific knowledge."
107,Bannow Bay was the site of William the Conqueror's invasion of England in 1066. The battle was called The Battle of Hastings.
108,The Normans invaded France in 1169. The Normans were Vikings who settled in northern France in the 9th century. They settled in Normandy in the 10th and 11th centuries. The Norman conquest of England was a military invasion of England by William the Conqueror in 1066. In 1066 the Normans attacked England and took over. In 1169 they invaded England.
109,"I'm not sure if this is what you're looking for, but you might be interested in this previous answer by /u/commiespaceinvader."
110,"The Normans didn't invade in the 11th century, they invaded in the 10th century. The Norman conquest of England was a military invasion of England by William the Conqueror in 1066. The battle of Hastings was the first battle in which the Normans took control of England. The Normans also invaded France, but they didn't conquer the rest of France."
111,"I'm not an expert on Irish history, but I can tell you that Irish culture has had a profound effect on the history of the United States. For example, in the early 20th century, the U.S. Congress passed the Alien and Sedition Act, which made it illegal for American citizens to immigrate to Ireland. This was a major blow to the Irish community, as it made it very difficult for them to sue for redress of their grievances against the government."
112,"I don't know of any castles in Ireland that were built by the Irish, but I do know of some castles that were constructed by the Normans. Dublin Castle was built by William the Conqueror during his invasion of Ireland in 1066. The castle was built on a marsh by the village of Llanfaes. The people who lived there were forced to move to a new village in the west of Anglesey to make way for the castle. This village was called Newborough and it still exists today."
113,Margaret was married to Otto I of Burgundy.
114,"Margaret Tudor was Queen Consort of Scotland from 1503 until James IV died in 1513. After that, she was regent for their son James V."
115,"William the Conqueror invaded Scotland in 1066. He defeated the Scottish army at the Battle of Culloden in 1067. He then invaded England in 1071. He was defeated at Hastings in 1072. He invaded England again in 1074, but this time he was defeated by William the Bastard."
116,"I'm not sure if this is what you're looking for, but there was a hostage crisis in Iran in 1979. There was a group of Iranian students supporting the Iranian Revolution who took over the US Embassy in Tehran. The hostage crisis lasted for a few days and ended when the hostages were released."
117,"Edgar married Eleanor of Aquitaine, daughter of William the Conqueror. Eleanor was the daughter of Harold Godwinson, King of England, and Eleanor's mother. She was married to Edward the Confessor, who was the son of Edward I of England and his first wife."
118,"I can't speak for the 10th century, but I can speak about the 11th century. The Anglo-Norman invasion of Scotland in 1066 was the culmination of a long series of wars between England and Scotland that had been going on for centuries. In 1066, William the Conqueror invaded England, and in 1067, Edward the Confessor invaded Scotland. Edward invaded England in 1068 and 1071, and then in 1072 and 1073, he invaded Scotland again, and again in 1074 and 1075, and finally in 1081, and so on and so forth, until he finally conquered Scotland in 1101."
